segment_type,segment_value,customers,avg_uplift_score,avg_pred_treated,avg_pred_control,observed_conversion_rate,treated_customers,treated_conversion_rate,control_customers,control_conversion_rate,observed_uplift
campaign_type,control,21306,0.01586934847286521,0.45735432034451706,0.4414849718716518,0.005726086548390125,0,0.0,21306,0.005726086548390125,-0.005726086548390125
campaign_type,mens_email,21307,0.09386392918352468,0.519641211530982,0.4257772823474574,0.01253109306800582,21307,0.01253109306800582,0,0.0,0.01253109306800582
campaign_type,womens_email,21387,0.0069063404491948215,0.4318635818762337,0.4249572414270389,0.008837144059475383,21387,0.008837144059475383,0,0.0,0.008837144059475383
history_segment,1) $0 - $100,22970,0.04377541794732694,0.4264909814124287,0.3827155634651018,0.007139747496734871,15358,0.0085948691235838,7612,0.004203888596952181,0.004390980526631619
history_segment,2) $100 - $200,14254,0.06495090417246344,0.42519460309699697,0.3602436989245335,0.006945418829802161,9418,0.008388192822255256,4836,0.0041356492969396195,0.004252543525315637
history_segment,3) $200 - $350,12289,-0.004452693892343468,0.47503159206936274,0.4794842859617063,0.009520709577671089,8245,0.010794420861127956,4044,0.006923837784371909,0.003870583076756047
history_segment,4) $350 - $500,6409,-0.06884838362852597,0.5482079471176007,0.6170563307461266,0.013418630051490093,4285,0.014469078179696617,2124,0.011299435028248588,0.0031696431514480292
history_segment,5) $500 - $750,4911,0.13137041269305905,0.5653987317225747,0.43402831902951566,0.011606597434331093,3259,0.01472844430806996,1652,0.005447941888619854,0.009280502419450106
history_segment,"6) $750 - $1,000",1859,0.20774810945738692,0.6267348807468051,0.41898677128941814,0.014523937600860678,1237,0.019401778496362168,622,0.00482315112540193,0.014578627370960238
history_segment,"7) $1,000 +",1308,0.014564263180503868,0.6900075462804771,0.6754432830999733,0.021406727828746176,892,0.02466367713004484,416,0.014423076923076924,0.010240600206967918
zip_code,Rural,9563,0.0016299760212277416,0.5231177228624166,0.5214877468411888,0.011188957440133849,6424,0.012608966376089664,3139,0.00828289264096846,0.004326073735121203
zip_code,Suburban,28776,0.05026504559372799,0.44987251706188264,0.3996074714681547,0.008305532388101196,19151,0.009973369536838807,9625,0.004987012987012987,0.00498635654982582
zip_code,Urban,25661,0.03989566143825411,0.47170985285966643,0.4318141914214123,0.009040957094423444,17119,0.010748291372159588,8542,0.005619292905642706,0.005128998466516882
channel,Multichannel,7762,0.09496276565774216,0.5658567711993866,0.47089400554164446,0.012625611955681525,5156,0.015515903801396431,2606,0.006907137375287797,0.008608766426108635
channel,Phone,28021,0.010458003060986308,0.4259422110429509,0.4154842079819646,0.007744191856107919,18694,0.008933347598159837,9327,0.005360780529645117,0.0035725670685147204
channel,Web,28217,0.05158706772711005,0.48641407361710165,0.4348270058899916,0.009320622319878088,18844,0.01109106346847803,9373,0.005761229062199936,0.005329834406278095
